Word 1,Word 2,Human (mean),sp_similarity
energy,secretary,1.81,30.0
secretary,senate,5.06,27.0
energy,laboratory,5.09,31.0
computer,laboratory,6.78,32.0
weapon,secret,6.06,30.0
FBI,fingerprint,6.94,28.0
FBI,investigation,8.31,26.0
investigation,effort,4.59,37.0
Mars,water,2.94,36.0
Mars,scientist,5.63,31.0
news,report,8.16,39.0
canyon,landscape,7.53,29.0
image,surface,4.56,36.0
discovery,space,6.34,34.0
water,seepage,6.56,29.0
sign,recess,2.38,38.0
Wednesday,news,2.22,29.0
mile,kilometer,8.66,37.0
computer,news,4.47,30.0
territory,surface,5.34,35.0
atmosphere,landscape,3.69,32.0
president,medal,3.0,28.0
war,troops,8.13,31.0
record,number,6.31,39.0
skin,eye,6.22,35.0
Japanese,American,6.5,37.0
theater,history,3.91,34.0
volunteer,motto,2.56,29.0
prejudice,recognition,3.0,35.0
decoration,valor,5.63,29.0
century,year,7.59,38.0
century,nation,3.16,33.0
delay,racism,1.19,34.0
delay,news,3.31,33.0
minister,party,6.63,35.0
peace,plan,4.75,31.0
minority,peace,3.69,35.0
attempt,peace,4.25,31.0
government,crisis,6.56,34.0
deployment,departure,4.25,36.0
deployment,withdrawal,5.88,36.0
energy,crisis,5.94,34.0
announcement,news,7.56,36.0
announcement,effort,2.75,31.0
stroke,hospital,7.03,30.0
disability,death,5.47,33.0
victim,emergency,6.47,31.0
treatment,recovery,7.91,37.0
journal,association,4.97,34.0
doctor,personnel,5.0,29.0
doctor,liability,5.19,29.0
liability,insurance,7.03,34.0
school,center,3.44,38.0
reason,hypertension,2.31,32.0
reason,criterion,5.91,33.0
hundred,percent,7.38,28.0
Harvard,Yale,8.13,38.0
hospital,infrastructure,4.63,29.0
death,row,5.25,33.0
death,inmate,5.03,30.0
lawyer,evidence,6.69,30.0
life,death,7.88,38.0
life,term,4.5,38.0
word,similarity,4.75,32.0
board,recommendation,4.47,29.0
governor,interview,3.25,27.0
OPEC,country,5.63,34.0
peace,atmosphere,3.69,36.0
peace,insurance,2.94,37.0
territory,kilometer,5.28,28.0
travel,activity,5.0,35.0
competition,price,6.44,33.0
consumer,confidence,4.13,29.0
consumer,energy,4.75,31.0
problem,airport,2.38,27.0
car,flight,4.94,33.0
credit,card,8.06,35.0
credit,information,5.31,37.0
hotel,reservation,8.03,30.0
grocery,money,5.94,27.0
registration,arrangement,6.0,36.0
arrangement,accommodation,5.41,34.0
month,hotel,1.81,29.0
type,kind,8.97,39.0
arrival,hotel,6.0,31.0
bed,closet,6.72,37.0
closet,clothes,8.0,33.0
situation,conclusion,4.81,34.0
situation,isolation,3.88,37.0
impartiality,interest,5.16,32.0
direction,combination,2.25,34.0
street,place,6.44,35.0
street,avenue,8.88,39.0
street,block,6.88,35.0
street,children,4.94,31.0
listing,proximity,2.56,28.0
listing,category,6.38,32.0
cell,phone,7.81,38.0
production,hike,1.75,33.0
benchmark,index,4.25,37.0
media,trading,3.88,34.0
media,gain,2.88,34.0
dividend,payment,7.63,38.0
dividend,calculation,6.48,30.0
calculation,computation,8.44,40.0
currency,market,7.5,31.0
OPEC,oil,8.59,27.0
oil,stock,6.34,32.0
announcement,production,3.38,34.0
announcement,warning,6.0,35.0
profit,warning,3.88,30.0
profit,loss,7.63,35.0
dollar,yen,7.78,37.0
dollar,buck,9.22,40.0
dollar,profit,7.38,31.0
dollar,loss,6.09,32.0
computer,software,8.5,28.0
network,hardware,8.31,37.0
phone,equipment,7.13,38.0
equipment,maker,5.91,32.0
luxury,car,6.47,26.0
five,month,3.38,33.0
report,gain,3.63,33.0
investor,earning,7.13,0.0
liquid,water,7.89,39.0
baseball,season,5.97,26.0
game,victory,7.03,34.0
game,team,7.69,31.0
marathon,sprint,7.47,30.0
game,series,6.19,38.0
game,defeat,6.97,34.0
seven,series,3.56,32.0
seafood,sea,7.47,33.0
seafood,food,8.34,39.0
seafood,lobster,8.7,38.0
lobster,food,7.81,37.0
lobster,wine,5.7,30.0
food,preparation,6.22,34.0
video,archive,6.34,32.0
start,year,4.06,35.0
start,match,4.47,37.0
game,round,5.97,38.0
boxing,round,7.61,34.0
championship,tournament,8.36,38.0
fighting,defeating,7.41,30.0
line,insurance,2.69,36.0
day,summer,3.94,37.0
summer,drought,7.16,37.0
summer,nature,5.63,32.0
day,dawn,7.53,38.0
nature,environment,8.31,35.0
environment,ecology,8.81,39.0
nature,man,6.25,37.0
man,woman,8.3,38.0
man,governor,5.25,36.0
murder,manslaughter,8.53,38.0
soap,opera,7.94,27.0
opera,performance,6.88,31.0
life,lesson,5.94,33.0
focus,life,4.06,34.0
production,crew,6.25,33.0
television,film,7.72,36.0
lover,quarrel,6.19,28.0
viewer,serial,2.97,30.0
possibility,girl,1.94,30.0
population,development,3.75,34.0
morality,importance,3.31,36.0
morality,marriage,3.69,35.0
Mexico,Brazil,7.44,36.0
gender,equality,6.41,33.0
change,attitude,5.44,35.0
family,planning,6.25,31.0
opera,industry,2.63,30.0
sugar,approach,0.88,30.0
practice,institution,3.19,38.0
ministry,culture,4.69,33.0
problem,challenge,6.75,35.0
size,prominence,5.31,35.0
country,citizen,7.31,32.0
planet,people,5.75,32.0
development,issue,3.97,37.0
experience,music,3.47,35.0
music,project,3.63,37.0
glass,metal,5.56,35.0
aluminum,metal,7.83,39.0
chance,credibility,3.88,35.0
exhibit,memorabilia,5.31,32.0
concert,virtuoso,6.81,28.0
rock,jazz,7.59,38.0
museum,theater,7.19,34.0
observation,architecture,4.38,35.0
space,world,6.53,36.0
preservation,world,6.19,34.0
admission,ticket,7.69,34.0
shower,thunderstorm,6.31,34.0
shower,flood,6.03,36.0
weather,forecast,8.34,27.0
disaster,area,6.25,32.0
governor,office,6.34,31.0
architecture,century,3.78,31.0
